PID PPID
1 0
2 0
3 2
5 2
7 2
8 2
9 2
10 2
11 2
12 2
13 2
14 2
15 2
16 2
17 2
18 2
19 2
20 2
21 2
22 2
23 2
24 2
28 2
29 2
30 2
31 2
47 2
48 2
49 2
50 2
51 2
52 2
53 2
54 2
55 2
56 2
57 2
58 2
59 2
60 2
61 2
62 2
63 2
64 2
65 2
66 2
67 2
68 2
69 2
70 2
71 2
72 2
73 2
74 2
75 2
76 2
81 2
95 2
96 2
97 2
135 2
136 2
137 2
138 2
139 2
140 2
141 2
142 2
143 2
144 2
146 2
147 2
148 2
149 2
151 2
188 2
189 2
218 2
238 1
309 32759
310 309
311 309
596 2
606 22111
798 1
816 1
821 1
822 1
847 1
848 1
850 1
860 1
866 1
879 1
906 866
954 1
982 1
989 1
1018 1
1041 1
1054 1041
1089 1041
1153 1
1245 1
1246 1
1300 1
1368 1
1666 1
1669 1
1670 1
1676 1246
1682 1
1809 1670
2320 1
2355 1670
3523 2
3882 2
10288 2
10290 2
10297 2
10298 2
10299 2
10342 2
15052 1245
15061 1
15071 1
15075 15071
15099 15052
15100 15099
15171 1245
15180 1
15189 1
15195 15189
15219 15171
15220 15219
15918 1670
15919 1670
15928 2
18945 2
18946 2
19910 1
20415 1245
20430 1
20433 2
20442 1
20447 20442
20471 20415
20472 20471
21680 2
22018 1245
22027 1
22037 1
22043 22037
22110 22018
22111 22110
22116 2
22692 1245
22701 1
22704 2
22712 1
22718 22712
22742 22692
22743 22742
22952 1245
22987 22952
22988 22987
24838 1245
24846 2
24848 1
24859 1
24865 24859
24932 24838
24933 24932
27597 2
28515 2
29402 2
29738 22743
29871 2
29876 2
29878 2
30001 1245
30009 1
30018 1
30023 30018
30047 30001
30048 30047
30060 2
32260 1
32477 15220
32758 30048
32759 32758
